4x4 nr=4: unique=0/40 (per-attempt), 0.0s total, 0.000s/att
4x4 nr=2: unique=0/40 (per-attempt), 1.4s total, 0.036s/att
5x5 nr=4: unique=0/40 (per-attempt), 3.8s total, 0.094s/att
5x5 nr=5: unique=0/40 (per-attempt), 0.1s total, 0.003s/att
5x5 nr=3: unique=0/40 (per-attempt), 15.9s total, 0.399s/att
6x6 nr=4: unique=0/40 (per-attempt), 8.3s total, 0.208s/att
6x6 nr=5: unique=0/40 (per-attempt), 2.2s total, 0.055s/att
6x6 nr=6: unique=0/40 (per-attempt), 0.0s total, 0.000s/att
7x7 nr=5: unique=0/40 (per-attempt), 0.0s total, 0.000s/att
7x7 nr=6: unique=0/40 (per-attempt), 4.0s total, 0.100s/att
