============================================================
Magic Sort Expansion: 10001-11000 (1000 levels) — MILESTONE 11K!
Strategy: 29-color, 3 extra tubes, depth>=34 (proven from 9K)
============================================================

[1/5] 10001-10200: 29c 3ext d>=34
  Level 10107: OK (pre_solved=0/29, depth=152)
  Level 10108: OK (pre_solved=0/29, depth=139)
  Level 10109: OK (pre_solved=0/29, depth=142)
  Level 10110: OK (pre_solved=0/29, depth=134)
  [Progress: 110/200, elapsed=962.3s, ETA=787.3s]
  Level 10111: OK (pre_solved=0/29, depth=165)
  Level 10112: OK (pre_solved=0/29, depth=162)
  Level 10113: OK (pre_solved=0/29, depth=134)
  Level 10114: OK (pre_solved=0/29, depth=146)
  Level 10115: OK (pre_solved=0/29, depth=181)
  Level 10116: OK (pre_solved=0/29, depth=244)
  Level 10117: OK (pre_solved=0/29, depth=165)
  Level 10118: OK (pre_solved=0/29, depth=133)
  Level 10119: OK (pre_solved=0/29, depth=198)
  Level 10120: OK (pre_solved=0/29, depth=321)
  [Progress: 120/200, elapsed=1000.4s, ETA=666.9s]
  Level 10121: OK (pre_solved=0/29, depth=172)
  Level 10122: OK (pre_solved=0/29, depth=158)
  Level 10123: OK (pre_solved=0/29, depth=157)
  Level 10124: OK (pre_solved=0/29, depth=179)
  Level 10125: OK (pre_solved=0/29, depth=143)
  Level 10126: OK (pre_solved=0/29, depth=144)
  Level 10127: OK (pre_solved=0/29, depth=174)
  Level 10128: OK (pre_solved=0/29, depth=145)
  Level 10129: OK (pre_solved=0/29, depth=195)
  Level 10130: OK (pre_solved=0/29, depth=144)
  [Progress: 130/200, elapsed=1081.9s, ETA=582.6s]
  Level 10131: OK (pre_solved=0/29, depth=139)
  Level 10132: OK (pre_solved=0/29, depth=150)
  Level 10133: OK (pre_solved=0/29, depth=180)
  Level 10134: OK (pre_solved=0/29, depth=141)
  Level 10135: OK (pre_solved=0/29, depth=157)
  Level 10136: OK (pre_solved=0/29, depth=169)
  Level 10137: OK (pre_solved=0/29, depth=156)
  Level 10138: OK (pre_solved=0/29, depth=228)
  Level 10139: OK (pre_solved=0/29, depth=152)
  Level 10140: OK (pre_solved=0/29, depth=164)
  [Progress: 140/200, elapsed=1145.9s, ETA=491.1s]
  Level 10141: OK (pre_solved=0/29, depth=183)
  Level 10142: OK (pre_solved=0/29, depth=191)
  Level 10143: OK (pre_solved=0/29, depth=147)
  Level 10144: OK (pre_solved=0/29, depth=119)
  Level 10145: OK (pre_solved=0/29, depth=139)
  Level 10146: OK (pre_solved=0/29, depth=176)
  Level 10147: OK (pre_solved=0/29, depth=210)
  Level 10148: OK (pre_solved=0/29, depth=152)
  Level 10149: OK (pre_solved=0/29, depth=327)
  Level 10150: OK (pre_solved=0/29, depth=117)
  [Progress: 150/200, elapsed=1166.1s, ETA=388.7s]
  Level 10151: OK (pre_solved=0/29, depth=141)
  Level 10152: OK (pre_solved=0/29, depth=201)
  Level 10153: OK (pre_solved=0/29, depth=165)
  Level 10154: OK (pre_solved=0/29, depth=139)
  Level 10155: OK (pre_solved=0/29, depth=154)
  Level 10156: OK (pre_solved=0/29, depth=196)
  Level 10157: OK (pre_solved=0/29, depth=195)
  Level 10158: OK (pre_solved=0/29, depth=181)
  Level 10159: OK (pre_solved=0/29, depth=233)
  Level 10160: OK (pre_solved=0/29, depth=204)
  [Progress: 160/200, elapsed=1244.1s, ETA=311.0s]
  Level 10161: OK (pre_solved=0/29, depth=131)
  Level 10162: OK (pre_solved=0/29, depth=149)
  Level 10163: OK (pre_solved=0/29, depth=213)
  Level 10164: OK (pre_solved=0/29, depth=165)
  Level 10165: OK (pre_solved=0/29, depth=239)
  Level 10166: OK (pre_solved=0/29, depth=134)
  Level 10167: OK (pre_solved=0/29, depth=148)
  Level 10168: OK (pre_solved=0/29, depth=186)
  Level 10169: OK (pre_solved=0/29, depth=154)
  Level 10170: OK (pre_solved=0/29, depth=120)
  [Progress: 170/200, elapsed=1268.5s, ETA=223.9s]
  Level 10171: OK (pre_solved=0/29, depth=151)
  Level 10172: OK (pre_solved=0/29, depth=171)
  Level 10173: OK (pre_solved=0/29, depth=123)
  Level 10174: OK (pre_solved=0/29, depth=142)
  Level 10175: OK (pre_solved=0/29, depth=124)
  Level 10176: OK (pre_solved=0/29, depth=166)
  Level 10177: OK (pre_solved=0/29, depth=189)
  Level 10178: OK (pre_solved=0/29, depth=172)
  Level 10179: OK (pre_solved=0/29, depth=158)
  Level 10180: OK (pre_solved=0/29, depth=138)
  [Progress: 180/200, elapsed=1315.1s, ETA=146.1s]
  Level 10181: OK (pre_solved=0/29, depth=135)
  Level 10182: OK (pre_solved=0/29, depth=192)
  Level 10183: OK (pre_solved=0/29, depth=226)
  Level 10184: OK (pre_solved=0/29, depth=147)
  Level 10185: OK (pre_solved=0/29, depth=203)
  Level 10186: OK (pre_solved=0/29, depth=148)
  Level 10187: OK (pre_solved=0/29, depth=159)
  Level 10188: OK (pre_solved=0/29, depth=121)
  Level 10189: OK (pre_solved=0/29, depth=162)
  Level 10190: OK (pre_solved=0/29, depth=167)
  [Progress: 190/200, elapsed=1433.6s, ETA=75.5s]
  Level 10191: OK (pre_solved=0/29, depth=221)
  Level 10192: OK (pre_solved=0/29, depth=248)
  Level 10193: OK (pre_solved=0/29, depth=134)
  Level 10194: OK (pre_solved=0/29, depth=147)
  Level 10195: OK (pre_solved=0/29, depth=115)
  Level 10196: OK (pre_solved=0/29, depth=215)
  Level 10197: OK (pre_solved=0/29, depth=212)
  Level 10198: OK (pre_solved=0/29, depth=123)
  Level 10199: OK (pre_solved=0/29, depth=202)
  Level 10200: OK (pre_solved=0/29, depth=142)
  [Progress: 200/200, elapsed=1513.5s, ETA=0.0s]

Generated 200/200, 0 failures
  Got: 200/200

[2/5] 10201-10400: 29c 3ext d>=34
  Level 10201: OK (pre_solved=0/29, depth=179)
  Level 10202: OK (pre_solved=0/29, depth=163)
  Level 10203: OK (pre_solved=0/29, depth=134)
  Level 10204: OK (pre_solved=0/29, depth=144)
  Level 10205: OK (pre_solved=0/29, depth=136)
  Level 10206: OK (pre_solved=0/29, depth=175)
  Level 10207: OK (pre_solved=0/29, depth=185)
  Level 10208: OK (pre_solved=0/29, depth=169)
  Level 10209: OK (pre_solved=0/29, depth=151)
  Level 10210: OK (pre_solved=0/29, depth=121)
  [Progress: 10/200, elapsed=114.7s, ETA=2178.4s]
  Level 10211: OK (pre_solved=0/29, depth=216)
  Level 10212: OK (pre_solved=0/29, depth=139)
  Level 10213: OK (pre_solved=0/29, depth=157)
  Level 10214: OK (pre_solved=0/29, depth=137)
  Level 10215: OK (pre_solved=0/29, depth=148)
  Level 10216: OK (pre_solved=0/29, depth=220)
  Level 10217: OK (pre_solved=0/29, depth=172)
  Level 10218: OK (pre_solved=0/29, depth=242)
  Level 10219: OK (pre_solved=0/29, depth=167)
  Level 10220: OK (pre_solved=0/29, depth=178)
  [Progress: 20/200, elapsed=176.9s, ETA=1592.3s]
  Level 10221: OK (pre_solved=0/29, depth=165)
  Level 10222: OK (pre_solved=0/29, depth=286)
  Level 10223: OK (pre_solved=0/29, depth=168)
  Level 10224: OK (pre_solved=0/29, depth=172)
  Level 10225: OK (pre_solved=0/29, depth=125)
  Level 10226: OK (pre_solved=0/29, depth=165)
  Level 10227: OK (pre_solved=0/29, depth=124)
  Level 10228: OK (pre_solved=0/29, depth=154)
  Level 10229: OK (pre_solved=0/29, depth=250)
  Level 10230: OK (pre_solved=0/29, depth=137)
  [Progress: 30/200, elapsed=308.0s, ETA=1745.5s]
  Level 10231: OK (pre_solved=0/29, depth=161)
  Level 10232: OK (pre_solved=0/29, depth=134)
  Level 10233: OK (pre_solved=0/29, depth=167)
  Level 10234: OK (pre_solved=0/29, depth=197)
  Level 10235: OK (pre_solved=0/29, depth=126)
  Level 10236: OK (pre_solved=0/29, depth=235)
  Level 10237: OK (pre_solved=0/29, depth=254)
  Level 10238: OK (pre_solved=0/29, depth=187)
  Level 10239: OK (pre_solved=0/29, depth=142)
  Level 10240: OK (pre_solved=0/29, depth=182)
  [Progress: 40/200, elapsed=365.0s, ETA=1459.9s]
  Level 10241: OK (pre_solved=0/29, depth=149)
  Level 10242: OK (pre_solved=0/29, depth=228)
  Level 10243: OK (pre_solved=0/29, depth=177)
  Level 10244: OK (pre_solved=0/29, depth=168)
  Level 10245: OK (pre_solved=0/29, depth=183)
  Level 10246: OK (pre_solved=0/29, depth=249)
  Level 10247: OK (pre_solved=0/29, depth=178)
  Level 10248: OK (pre_solved=0/29, depth=173)
  Level 10249: OK (pre_solved=0/29, depth=134)
  Level 10250: OK (pre_solved=0/29, depth=164)
  [Progress: 50/200, elapsed=383.3s, ETA=1149.9s]
  Level 10251: OK (pre_solved=0/29, depth=233)
  Level 10252: OK (pre_solved=0/29, depth=232)
  Level 10253: OK (pre_solved=0/29, depth=142)
  Level 10254: OK (pre_solved=0/29, depth=158)
  Level 10255: OK (pre_solved=0/29, depth=170)
  Level 10256: OK (pre_solved=0/29, depth=143)
  Level 10257: OK (pre_solved=0/29, depth=153)
  Level 10258: OK (pre_solved=0/29, depth=205)
  Level 10259: OK (pre_solved=0/29, depth=191)
  Level 10260: OK (pre_solved=0/29, depth=173)
  [Progress: 60/200, elapsed=499.9s, ETA=1166.5s]
  Level 10261: OK (pre_solved=0/29, depth=155)
  Level 10262: OK (pre_solved=0/29, depth=179)
  Level 10263: OK (pre_solved=0/29, depth=135)
  Level 10264: OK (pre_solved=0/29, depth=237)
  Level 10265: OK (pre_solved=0/29, depth=119)
  Level 10266: OK (pre_solved=0/29, depth=195)
  Level 10267: OK (pre_solved=0/29, depth=144)
  Level 10268: OK (pre_solved=0/29, depth=131)
  Level 10269: OK (pre_solved=0/29, depth=156)
  Level 10270: OK (pre_solved=0/29, depth=176)
  [Progress: 70/200, elapsed=578.2s, ETA=1073.9s]
  Level 10271: OK (pre_solved=0/29, depth=153)
  Level 10272: OK (pre_solved=0/29, depth=159)
  Level 10273: OK (pre_solved=0/29, depth=210)
  Level 10274: OK (pre_solved=0/29, depth=127)
  Level 10275: OK (pre_solved=0/29, depth=154)
  Level 10276: OK (pre_solved=0/29, depth=227)
  Level 10277: OK (pre_solved=0/29, depth=130)
  Level 10278: OK (pre_solved=0/29, depth=151)
  Level 10279: OK (pre_solved=0/29, depth=125)
  Level 10280: OK (pre_solved=0/29, depth=108)
  [Progress: 80/200, elapsed=664.5s, ETA=996.7s]
  Level 10281: OK (pre_solved=0/29, depth=187)
  Level 10282: OK (pre_solved=0/29, depth=202)
  Level 10283: OK (pre_solved=0/29, depth=149)
  Level 10284: OK (pre_solved=0/29, depth=134)
  Level 10285: OK (pre_solved=0/29, depth=183)
  Level 10286: OK (pre_solved=0/29, depth=171)
  Level 10287: OK (pre_solved=0/29, depth=190)
  Level 10288: OK (pre_solved=0/29, depth=130)
  Level 10289: OK (pre_solved=0/29, depth=158)
  Level 10290: OK (pre_solved=0/29, depth=200)
  [Progress: 90/200, elapsed=773.0s, ETA=944.8s]
  Level 10291: OK (pre_solved=0/29, depth=161)
  Level 10292: OK (pre_solved=0/29, depth=157)
  Level 10293: OK (pre_solved=0/29, depth=198)
  Level 10294: OK (pre_solved=0/29, depth=303)
  Level 10295: OK (pre_solved=0/29, depth=135)
  Level 10296: OK (pre_solved=0/29, depth=135)
  Level 10297: OK (pre_solved=0/29, depth=171)
